web_path,mobile_path,expo_route,implementation_destination,status,missing_functionality,api_endpoints,socket_events,native_deps,evidence
client/src/App.jsx,mobile/app/_layout.tsx + mobile/app/index.tsx,/,app/index.tsx,FULLY_MIGRATED,None - routing logic preserved,,,,Root layout + auth guard present in mobile/app/_layout.tsx and app/index.tsx
client/src/main.jsx,mobile/src/main.tsx,N/A,mobile/src/main.tsx,FULLY_MIGRATED,None,,,,File exists with mobile-compatible entry
client/src/i18n.js,mobile/src/i18n.ts,N/A,mobile/src/i18n.ts,FULLY_MIGRATED,i18next packages not installed in mobile package.json,,,,File exists but i18next missing from deps
client/src/store/authSlice.js,mobile/src/store/authSlice.ts,N/A,mobile/src/store/authSlice.ts,FULLY_MIGRATED,None - includes finishAuthInitialization for async token init,,,,File exists and fully ported
client/src/store/store.js,mobile/src/store/store.ts,N/A,mobile/src/store/store.ts,FULLY_MIGRATED,None,,,,File exists
client/src/contexts/SocketContext.jsx,mobile/src/contexts/SocketContext.tsx,N/A,mobile/src/contexts/SocketContext.tsx,FULLY_MIGRATED,None - AppState lifecycle added for mobile,,,,File exists with AppState reconnect logic
client/src/contexts/ThemeContext.jsx,mobile/src/contexts/ThemeContext.tsx,N/A,mobile/src/contexts/ThemeContext.tsx,FULLY_MIGRATED,None,,,,File exists
client/src/services/api.js,mobile/src/services/api.ts,N/A,mobile/src/services/api.ts,FULLY_MIGRATED,None - uses SecureStore instead of localStorage,,,,File exists
client/src/services/adminService.js,mobile/src/services/adminService.ts,N/A,mobile/src/services/adminService.ts,MOCK_IMPLEMENTATION,"All 8 functions missing: getDashboardMetrics, getUsersList, updateUserStatus, getModerationQueue, resolveReport, getAuditLogs, broadcastNotification, getSystemConfig, updateSystemConfig","GET /api/admin/metrics, GET /api/admin/users, PUT /api/admin/users/:id, GET /api/admin/reports, PUT /api/admin/reports/:id, GET /api/admin/audit-logs, POST /api/admin/broadcast-notification, GET /api/admin/system-config, PUT /api/admin/system-config",,,"File is empty export {} stub - 0 functions implemented"
client/src/services/creatorService.js,mobile/src/services/creatorService.ts,N/A,mobile/src/services/creatorService.ts,MOCK_IMPLEMENTATION,"All 7 functions missing: getOverviewStats, getInsights, getAudienceAnalytics, getContentPerformance, getDraftsAndScheduled, bulkContentAction, downloadAnalyticsReport","GET /api/creator/overview, GET /api/creator/insights, GET /api/creator/audience, GET /api/creator/content, GET /api/creator/content-manager, POST /api/creator/bulk-action, GET /api/creator/export",,,"File is empty export {} stub - window.open() in downloadAnalyticsReport needs expo-linking replacement"
